file,family,n_vars,m_clauses,tier,difficulty
maxcut/t3pm3-5555.spn.wcnf,maxcut,27,162,1,tiny
maxclique/johnson8-2-4.clq.wcnf,maxclique,28,196,1,tiny
maxcut/c-fat200-2.clq.wcnf,maxcut,40,228,1,tiny
bcp-syn/normalized-maincont.r.wcnf,bcp-syn,67,111,1,tiny
bcp-syn/normalized-m100_100_10_10.r.wcnf,bcp-syn,100,200,1,tiny
maxone/3col80_5_2.shuffled.cnf.wcnf,maxone,160,846,2,small
maxclique/keller4.clq.wcnf,maxclique,171,5271,2,small
maxclique/brock200_1.clq.wcnf,maxclique,200,5266,2,small
frb/frb20-11-4.partial.wcnf,frb,220,5793,2,small
maxone/dp02s02.shuffled.cnf.wcnf,maxone,319,1002,2,small
bcp-msp/normalized-ii8a2.wcnf,bcp-msp,360,1340,3,medium
bcp-msp/normalized-ii8a3.wcnf,bcp-msp,528,2344,3,medium
min-fill/MinFill_R0_myciel3.wcnf,min-fill,594,2570,3,medium
bcp-mtg/c1355_F1001gat-1048gat@1.wcnf,bcp-mtg,783,2564,3,medium
reversi/rev44-4.wcnf,reversi,836,4072,3,medium
min-fill/MinFill_R3_huck.wcnf,min-fill,990,2321,4,medium-large
pbo-routing/normalized-s3-3-3-1pb.wcnf,pbo-routing,996,2755,4,medium-large
reversi/rev44-10.wcnf,reversi,2042,10084,5,large
pbo-routing/normalized-s4-4-3-6pb.wcnf,pbo-routing,2912,8491,5,large
close-solutions/teams16_l7a.cnf.wcnf,close-solutions,2969,50445,5,large
bcp-fir/normalized-f20c10b_006_area_delay.wcnf,bcp-fir,3041,9206,5,large
bcp-fir/normalized-f20c10b_024_area_delay.wcnf,bcp-fir,3392,10643,5,large
packup/rand892_l2.wcnf,packup,13298,51488,6,huge
